name,bio
Ripper,"Ripper is a Marine Commander who heads the 153rd Branch. Formerly a subordinate of Captain Morgan, he assumed control after Morgan was defeated by the Straw Hat Pirates."
Ririka,Ririka is a bartender who runs a local bar in Shells Town. She is Rika's mother.
Risky Brothers,The Risky Brothers were a duo of Wild Zombie squirrels that served under Perona. They were animated from the shadows of two pirates by the same name.
Rivers,Rivers was the gunner of the Bellamy Pirates.
Road,"Road is a giant from Elbaph who is the navigator of the New Giant Warrior Pirates and was formerly an S-Class ranked mercenary for Buggy's Delivery. In addition, he rules over a personal diorama full of entrapped humans and giant animals as its "" Sun God ""."
Rob Lucci,"Rob Lucci, also known as ""Massacre Weapon"", is a masked agent of CP0. Originally, he was introduced as part of CP9, reputed as the assassin unit's strongest member in history."
Robson,"Robson is Wapol's pet, and personal transport. He is a White Walkie, also known as ""Wooly Hippo""."
Roche,Roche was one of the archaeologists of Ohara.
Rocks D. Xebec,"Rocks D. Xebec, born Davy D. Xebec, was the captain of the legendary Rocks Pirates. Born on God Valley, he was a member of the Davy Family and the father of Marshall D. Teach, one of the current Four Emperors."
Rockstar,"Rockstar is a member of the Red Hair Pirates, being relatively new in the crew two years ago."
Roddy,Roddy is a bull mink and a Guardian of the Whale Forest.
Roji,"Roji was the wife of Oran, the mother of Mizuira, the sister-in-law of Nico Olvia, and the maternal aunt of Nico Robin."
Rokkaku,Lieutenant Junior Grade Rokkaku was one of Axe-Hand Morgan's officers at the 153rd Marine Branch. He currently serves under Commander Ripper.
Rokki,"Rokki is a member of the Numbers in the Beasts Pirates, representing the number ""six""."
Rolling Logan,Rolling Logan is an army commander of the Majiatsuka Kingdom. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.
Ronja,Ronja is a student at the Walrus School on Elbaph.
Roronoa Zoro,"Roronoa Zoro, also known as ""Pirate Hunter"" Zoro, is the master swordsman and combatant of the Straw Hat Pirates, one of the Senior Officers of the Straw Hat Grand Fleet, and is publicly recognized as the right-hand man and number two of his crew's captain, Monkey D. Luffy. Formerly a bounty hunter, he is the second member of Luffy's crew and the first to join it, doing so in the Romance Dawn Arc."
Roshio,"""Executioner"" Roshio is a pirate captain who has a bounty of 42,000,000."
Ross,Ross is a former combatant of the Bellamy Pirates.
Rosward Charlos,"Saint Rosward Charlos is a World Noble, the son of Saint Rosward Rosward, and the older brother of Saint Shalria. Due to his actions, he can be considered one of the main antagonists of the Sabaody Archipelago Arc, and a minor antagonist during the Levely Arc."
Rosward Rosward,Saint Rosward Rosward is a World Noble and member of the Rosward Family. He is the father of Charlos and Shalria.
Rosward Shalria,"Saint Rosward Shalria is a World Noble, the daughter of Saint Rosward Rosward, and the younger sister of Saint Charlos. Alongside the rest of her family, Shalria is one of the main antagonists of the Sabaody Archipelago Arc."
Rowing,Rowing was the scholar of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Roxanne,Roxanne is a Baratie regular who was friendly with Sanji.
Royder,Royder is a reporter who witnessed and reported on the events of the Summit War of Marineford from Sabaody Archipelago.
Run,"Run the Machete is an ex-pirate and former member of the Centaur Patrol Unit under Brownbeard, having served as one of Caesar Clown’s henchmen. He is a spider centaur."
Rush,Rush is an infamous New World pirate captain who allied with Whitebeard.
Russian,Russian was Senor Pink's wife and the mother of Gimlet.
Ryuboshi,Ryuboshi is an oarfish merman and the second son of the royal Neptune Family on Fish-Man Island.
Ryuma,"Ryuma was a member of the General Zombies serving the Thriller Bark Pirates. His body came from the legendary Wano Country samurai Shimotsuki Ryuma, which was brought back to life after Gecko Moria infused it with Brook's shadow."
Ryunosuke,"Ryunosuke was a ""Rising Dragon"" created by Kurozumi Kanjuro using the power of the Fude Fude no Mi. It was created to aid Kurozumi Kanjuro, Kin'emon, Trafalgar Law, and the Straw Hat Pirates in scaling the leg of Zunesha to reach Zou, and received its name from the Straw Hats."
S-Bear,"S-Bear is one of the Seraphim and a Lunarian-based clone of Bartholomew Kuma. Due to his actions and role, he is a supporting antagonist in the Egghead Arc."
S-Hawk,"S-Hawk is one of the Seraphim and a Lunarian-based clone of Dracule Mihawk. Due to his actions and role, he is a supporting antagonist in the Egghead Arc."
S-Shark,"S-Shark is one of the Seraphim and a Lunarian-based clone of Jinbe. Due to his actions and role, he is a supporting antagonist in the Egghead Arc."
S-Snake,"S-Snake is one of the Seraphim and a Lunarian-based clone of Boa Hancock. Due to her actions and role, she is a supporting antagonist in the Egghead Arc."
Saber,"Saber is a member of the Spade Pirates. Despite being commonly seen at Ace's side, he was allegedly not a commanding officer."
Sabo,"""Flame Emperor"" Sabo is the Revolutionary Army's chief of staff, recognized as the No. 2 of the entire organization under Supreme Commander Monkey D. Dragon."
Sadi,Sadi is a chief guard of Impel Down. She always wants to be addressed as Little Sadi.
Sai,"Sai, also known as Don Sai, is a member of the Chinjao Family and the 13th leader of the Happo Navy, as well as the captain of the third ship of the Straw Hat Grand Fleet. He is also a martial artist who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi, where he met Monkey D. Luffy, whom he eventually pledged his loyalty to."
Saikoro,Saikoro is a tanuki owned by Wakasa and Hiroshi that lives in Bakura Town in Wano Country.
Saitank,"Saitank is a Gifter in the Beasts Pirates ' Armored Division. During the Raid on Onigashima, he was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance."
Sakazuki,"Sakazuki, formerly known by his Admiral alias Akainu, is the current Fleet Admiral of the Marines, succeeding the previous Fleet Admiral, Sengoku. During the first half of the series, he was one of the three Admirals, and was the last one out of the three to debut."
Saldeath,Saldeath is one of the Chief Guards of Impel Down. He is the commander of the Blue Gorillas.
Salome,Salome is Boa Hancock’s personal Snake Weapon.
Sam,"Sam-san is a drunk man from Cocoyasi Village. On many occasions, he wanders around unknowingly when he is drunk."
Samosa,Samosa is a king and one of fifty monarchs who took part in the Levely.
Samurai Batts,Samurai Batts is a visitor on Kyuka Island.
Sancrin,Sancrin the Thief is a member of the Longarm Tribe and Brook's former manager.
Sandayu,Sandayu is a bodyguard who worked for the oiran Komurasaki.
Sanji,"""Black Leg"" Sanji is the cook of the Straw Hat Pirates and one of the Senior Officers of the Straw Hat Grand Fleet. He is the fifth member of the crew and the fourth to join, doing so at the end of the Baratie Arc."
Sanjuan Wolf,"Sanjuan Wolf is an enormous giant, known as ""Colossal Battleship"" for his size, and and one of the Ten Titanic Captains of the Blackbeard Pirates, serving as the captain of the seventh ship of the fleet.. He was one of the legendary criminals imprisoned within the sixth level of the great underwater prison Impel Down until he was freed and recruited by Marshall D. Teach."
Sapi,Sapi is a fish salesman from Loguetown who sold Sanji the blue-finned elephant tuna.
Sarahebi,Sarahebi is a Gifter of the Beasts Pirates who works under Black Maria. She was also a school teacher in the Flower Capital.
Sarai,Sarai was a member of the Takotopus Pirates 30 years ago.
Sarfunkel,Sarfunkel is an inhabitant on the Island of Rare Animals. She is described as a barrel woman.
Sarie Nantokanette,Sarie Nantokanette is the queen of the Goa Kingdom and Sterry's wife.
Sarquiss,"""Big Knife"" Sarquiss is the former first mate of the Bellamy Pirates, with a bounty of 38,000,000 on his head. His epithet originates from the large dagger he always wields, which bears a strong resemblance to a massive kukri."
Saru,"Saru is the pet dog of two of the World Nobles, Saint Rosward and Saint Shalria."
Sarutobi,"Sarutobi is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi."
Sasaki,"""Overflowing"" Sasaki is a bluespine unicornfish fish-man and one of the Tobiroppo, the strongest six Shinuchi of the Beasts Pirates. He also leads the crew's Armored Division."
Satchels Maffey,"Saint Satchels Maffey is a World Noble and a member of the Knights of God. 38 years ago, she took part in the God Valley Incident, being the reason that Shanks and Shamrock were split up."
Satori,"Satori of the Forest is one of four former priests of Enel's God's Army, operating the Ordeal of Balls to punish criminals during Enel's reign. He is also the oldest triplet brother of Hotori and Kotori."
Sauce,Sauce is the king of the Jambalaya Kingdom and one of fifty monarchs who took part in the Levely.
Scales,Scales is a Sea King. It is one of the six Sea Kings that speak to Shirahoshi when she fully manifests the power of Poseidon.
Scarlett,"Scarlett was the first daughter of the Riku Family and the former crown princess of Dressrosa until falsifying her own death. She was Viola's elder sister, Kyros ' wife, and Rebecca's mother."
Schollzo,Schollzo is a member of the Franky Family.
Scimitarta,Scimitarta is a member of the Endurance Curry Pirates.
Scopper Gaban,"Scopper Gaban, also known as the ""Mountain-Eater"", is a legendary retired pirate and former navigator of the Roger Pirates. His fame is said to rival that of his crewmates Gol D. Roger and Silvers Rayleigh, being known as the ""Left Hand of the Pirate King""."
Scorpionlady,"Scorpionlady is a Gifter in the Beasts Pirates and a member of the crew's Armored Division. During the Raid on Onigashima, she was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance."
Scotch,"""Iron Boy"" Scotch is a member of the Beasts Pirates working as the guardian of one of the former Emperor Kaidou's favorite islands."
Scratchmen Apoo,"Scratchmen Apoo, also known as ""Roar of the Sea"", is the captain of the On Air Pirates and was formerly an informant for the Beasts Pirates, led by Kaidou of the Four Emperors. He is a member of the Longarm Tribe and one of twelve pirates who are referred to as the "" Worst Generation "", being one of the eleven Supernovas who came to Sabaody Archipelago two years ago with a bounty of 198,000,000."
Sea Boar,The Sea Boar is a sea creature that debuted in Hatchan's Sea-Floor Stroll.
Seagull Guns Nozdon,Seagull Guns Nozdon is a former member of the Roger Pirates.
Seamars,Captain Seamars is the captain of the Space Pirates who appears in Enel's cover story.
Seira,Seira is a bluestriped angelfish mermaid and a dancer in the Mermaid Cafe.
Seki,Seki is the deposed king of Lulusia Kingdom and one of fifty monarchs who took part in the Levely. He is the father of Princess Komane.
Sengoku,"Sengoku the Buddha is a former Fleet Admiral of the Marines, succeeding Kong and preceding Sakazuki. He retired from his leadership position after the Summit War of Marineford, but remained in the Marines as an Inspector General."
Sennorikyuru,Sennorikyuru is the master of tea ceremonies and is considered the best cook of Wano Country.
Senor Pink,Senor Pink is an assassin and officer of the Donquixote Pirates ' Diamante Army. He was also the husband of Russian and the father of Gimlet.
Sentomaru,"Sentomaru is a former Marine Officer and the former captain of the Marines' Science Unit, as well as Dr. Vegapunk's former bodyguard."
Serizawa,Serizawa is a dyer and instructor who taught Bellamy in the cover page serial The Stories of the Self-Proclaimed Straw Hat Grand Fleet.
Seto,"Seto was one of the Shandia who lived on Jaya four hundred years ago. He was the husband of Kalgara's daughter Mousse, making him an ancestor to Wyper."
Shachi,Shachi is a member of the Heart Pirates.
Shaka,"Shaka, also designated as Punk-01 ( PUNK-01, Panku-Wan? ), is one of the six satellites of Dr."
Shakuyaku,"Shakuyaku, most commonly known by her nickname Shakky, is the bartender of Shakky's Rip-off Bar on the Sabaody Archipelago (formerly on Hachinosu over 40 years ago). She lives with her husband Silvers Rayleigh."
Sham,"Sham is an officer of the Black Cat Pirates. Along with his partner Buchi, he is also the protector of the crew's ship, the Bezan Black, and together they are known as the Nyaban Brothers."
Shanba,Shanba is an inhabitant of Torino Kingdom. He was first seen at the time of Chopper's arrival.
Shandia Chief,The Shandia chief is the leader of the Shandia tribe.
Shanks,"""Red-Haired"" Shanks, commonly known as just ""Red Hair"", is the chief of the Red Hair Pirates and one of the Four Emperors that rule over the New World. Born in God Valley to the Figarland Family of the World Nobles, Shanks is the son of Figarland Garling and the younger twin brother of Shamrock."
Sharinguru,Captain Sharinguru is a Marine captain who helped in the Buster Call on Enies Lobby.
Sheepshead,Sheepshead is a Shinuchi of the Beasts Pirates who was in charge of the Gifters on Zou.
Shelly,Shelly is Tonjit's hooorse and an animal of Long Ring Long Land.
Shepherd Ju Peter,"Saint Shepherd Ju Peter is a World Noble of the Shepherd Family and one of the Five Elders who publicly head the World Government, holding the title of Warrior God of Agriculture. He is one of the secondary antagonists of the Egghead Arc."
Shepherd Sommers,"Saint Shepherd Sommers is a World Noble and a member of the Knights of God. Due to his actions and role, he is a major antagonist in the Elbaph Arc."
Shiki,"Shiki the Golden Lion, also known as the ""Flying Pirate"", is the admiral and helmsman of the Golden Lion Pirates. He is also a former member of the Rocks Pirates and the first known prisoner to have ever escaped from Impel Down."
Shikon Kettai,Shikon Kettai is a member of the Germ Pirates.
Shimotsuki Kouzaburou,"Shimotsuki Kouzaburou was a member of the Shimotsuki Family and a swordsmith who crafted the Great Grade Blades, Wado Ichimonji and Enma. He was born in Wano Country, but illegally departed from there 55 years ago and eventually settled down in what became Shimotsuki Village in the East Blue."
Shimotsuki Ryuma,"Shimotsuki Ryuma was a legendary, world-famous samurai hailing from the Shimotsuki Family of Wano Country, who lived during Wano's ""Country of Gold"" era around 400 years ago. He was revered for his mastery of swordsmanship that earned him the title Sword God, as well as his feat of slaying a dragon."
Shimotsuki Ushimaru,"Shimotsuki Ushimaru was a member of the Shimotsuki Family, and the last daimyo of Ringo in Wano Country before the takeover of Kurozumi Orochi as shogun 20 years ago. He was a direct descendant of the legendary samurai Shimotsuki Ryuma and the great-uncle of Roronoa Zoro through his older sister Furiko."
Shimotsuki Yasuie,"Shimotsuki Yasuie, also known as "" Yasu the Hedgehog "", Tonoyasu, or just Yasu, was a member of the Shimotsuki Family and a taikomochi who lived in Ebisu Town near the capital of Wano Country. He was the adoptive father of Toko."
Shin Detamaruka,Shin Detamaruka is a citizen of Dressrosa and a former dancer. She is the grandmother of Shin Jaiya.
Shin Jaiya,Shin Jaiya is a citizen of Dressrosa. She is the granddaughter of Shin Detamaruka.
Shine,Shine is a Marine Chief Petty Officer who works under the command of Hina.
Shinobu,"Shinobu is a kunoichi from Wano Country and a retainer of the Kouzuki Family, having once served in the Oniwabanshu of the Kouzuki Shogunate and trained under Kin'emon as his protégée. She is also the younger sister of Shinosuke."
Shinosuke,Shinosuke is a ninja who serves the Kouzuki Family. He is Shinobu's older brother.
Shioyaki,Shioyaki is a salmon fish-man who was a member of the Arlong Pirates and the head of banquets.
Shirahoshi,"Princess Shirahoshi, famous in the world as the Mermaid Princess, is a giant smelt-whiting mermaid and the princess of the Ryugu Kingdom, as the youngest of King Neptune's children and the only daughter in the Neptune royal family. Having been locked up and raised inside an impregnable tower for most of her childhood thanks to the constant threat of Vander Decken IX, Shirahoshi wishes to know more about the outside world, following the will of her late mother, Queen Otohime."
Shiryu,"Shiryu of the Rain is one of the Ten Titanic Captains of the Blackbeard Pirates, serving as the captain of the second ship of the fleet. He was originally introduced as the ex-Head Jailer of Impel Down, who had himself been imprisoned on Level 6 death row for his excessive, murderous violence against prisoners."
Shishilian,"""Full Power"" Shishilian is a lion mink and the captain of the Inuarashi Musketeer Squad, as well as one of the Three Inuarashi Musketeers leading the squad."
Shoujou,"""Sonar King"" Shoujou is the big boss of the Shoujou Pirates, the head of underwater sonar operations around Jaya's coast, the sworn brother of Masira, and a follower of Mont Blanc Cricket, as part of the Saruyama Alliance. He and Masira were both fans of Liar Noland, the fairy tale concerning Cricket's ancestor, Mont Blanc Noland."
Shu,Captain Shu was one of the Marine captains that helped in the Buster Call on Enies Lobby.
Shura,"""Sky Rider"" Shura is one of the four former priests of the Upper Yard, who punished criminals with the Ordeal of String during Enel's reign. He rode a giant flying bird named Fuza."
Shyarly,Madam Shyarly is a shortfin mako shark mermaid living on Fish-Man Island. She is the proprietor of the Mermaid Cafe and Arlong's younger half-sister.
Sicily,Sicily is a Marine Rear Admiral.
Sig,Sig is a member of the Giant Warrior Pirates. He serves as a minor ally during the Egghead Arc.
Silvers Rayleigh,"Silvers Rayleigh, also known as the ""Dark King"", is a legendary retired pirate who formerly served as the first mate of the Roger Pirates, being known as the ""Right Hand of the Pirate King"". He is one of the major figures from the time when Gol D. Roger, the ""Pirate King"", was still alive."
Sind,Sind is a child who was held captive in the Biscuits Room on Punk Hazard. He was freed with the rest of the children by the Straw Hat Pirates.
Skaldi,Skaldi is a student at the Walrus School on Elbaph.
Skull,"Skull is a member of the Spade Pirates and, subsequently, the Whitebeard Pirates."
Slime,"Smiley, more commonly known as Slime, was a pet of Caesar Clown. It was created by gathering and compressing the poisonous H2S gas that had spread throughout Punk Hazard and using Vegapunk's process of Zoan Devil Fruit animation to bring it to life."
Smoker,"Smoker the White Hunter is a Marine vice-admiral and the commander of G-5 Branch's Unit 01, as well as the overall Base Commander of the G-5 Marine base. Originally a ranking captain in Loguetown, Smoker became fixated on Monkey D. Luffy's Straw Hat Pirates for escaping his previously-unbroken authority, and—with his loyal subordinate Tashigi —quit his post to pursue them into the Grand Line."
Smooge,"""Rebar"" Smooge is an ex-prisoner and former member of the Centaur Patrol Unit under Brownbeard, having served as one of Caesar Clown’s henchmen."
Snakeman,Snakeman is a Gifter in the Beasts Pirates.
Sodom,"Sodom is one of the two gigantic King Bulls (sea horse in the most literal sense) owned by the Franky Family, the other being Gomorrah."
Solitaire,Solitaire is a Shinuchi of the Beasts Pirates who serves as a vice warden of the Prisoner Mine in the Udon region of Wano Country.
Some,O-Some is a geisha who works in Wano Country's Flower Capital.
Sonieh,Sonieh was the leader of 50-men mechanic team in the Foxy Pirates. He left the crew sometime during the Timeskip.
Sora,Sora is a coris mermaid and an employee at the Mermaid Cafe.
Soro,"Soro was Helmeppo's pet wolf and the main reason that Roronoa Zoro was arrested by the Marines at Shells Town. He is classified as a Type C creature, ""Big Savage""."
Spacey,First Lieutenant Spacey is one of the automata created on Karakuri Island by Tsukimi.
Spandam,"Spandam is the former chief of CP9 and CP5. He is the son of Spandine, who was also his predecessor as the chief of CP9."
Spandine,"Spandine is the father of Spandam and was CP9's chief 22 years ago during the Ohara Incident. He led the ""investigation"" in Ohara and was responsible for summoning the Buster Call."
Spartan,"Spartan is a gladiator at the Corrida Colosseum who was going to compete for the Mera Mera no Mi, before being defeated by Luffy."
Spector,Spector is the owner of the Tropical Hotel.
Speed,Speed is a former Shinuchi of the Beasts Pirates stationed in Bakura Town. She has since become a subordinate to Kurozumi Tama due to the latter's Devil Fruit powers and became an ally of the Ninja-Pirate-Mink-Samurai Alliance.
Speed Jiru,Speed Jiru is the former 14th division commander of the Whitebeard Pirates.
Spencer,Spencer was a member of the Roger Pirates and their intelligence officer until the crew's dissolution. His current whereabouts and status are unknown.
Splatter,Splash and Splatter are two newkama pirate twins. They both willingly donated blood to Sanji when he was dying of severe blood loss.
Spoil,Spoil is the chairman of the Thriller Bark Victim's Association.
Squard,"""Maelstrom Spider"" Squard is an infamous New World pirate and the captain of the Maelstrom Spider Pirates. Squard and his crew were allies of the Whitebeard Pirates and participated in the Summit War of Marineford."
Stainless,"Vice Admiral Stainless is a Marine officer who participated in the Summit War of Marineford. In the anime, he was initially named Kaizeruhige."
Stalker,Lieutenant Junior Grade Stalker is a Marine on Vice Admiral Momonga's ship.
Stansen,"Stansen is a giant from Elbaph and shipwright. A childhood friend of Hajrudin's, they sailed together in their youth."
Sterry,"Sterry is the king of the Goa Kingdom and the husband of the queen, Sarie Nantokanette. He was adopted by Sabo's family at eight years of age, having originally been born in a separate noble family."
Stevie,"Stevie is one of the two sea train organizers in Water 7, along with Bushon."
Strawberry,"Vice Admiral Strawberry is a Marine officer, and one of the five vice admirals who led the Buster Call assault on Enies Lobby."
Streusen,"""Gourmet Knight"" Streusen is the executive chef of the Big Mom Pirates, and is also the co-founder of the crew alongside Big Mom herself. Prior to meeting Linlin, he was the chef of a pirate crew that has since fallen apart."
Stroganoff,Stroganoff is the king of the Beef Kingdom and one of fifty monarchs who took part in the Levely.
Stronger,"Stronger is the horse that Doc Q rides on. Because Doc Q is seemingly always sick, he rides on Stronger all the time, since the doctor tends to collapse if left unsupported for some time; however, Stronger is just as sick as he is."
Stussy,"Stussy is MADS ' first-ever successful clone, having been modeled after Miss Buckingham Stussy. She is a masked agent of CP0, although she is actually a spy employed by Dr."
Su,Su is a Cloud Fox and pet of Conis.
Sugamichi and Warazane,"Sugamichi and Warazane are two land-dwelling catfish ridden by Fujin and Raijin, respectively."
Sugar,"Sugar is a special officer of the Donquixote Pirates ' Trebol Army. She was one of the most integral components of Doflamingo's plan in keeping Dressrosa in line, as any dissenters were turned into toys by her Hobi Hobi no Mi powers."
Sukare Karehosui,Sukare Karehosui is a member of the Germ Pirates and the younger sister of Sukare Tainen.
Sukare Tainen,Sukare Tainen is the captain of the Germ Pirates and the older brother of Sukare Karehosui.
Suke,Suke is a gangster who is a member of the Kyoshiro Family in Wano Country.
Sukoshiba Kanishitoru,Sukoshiba Kanishitoru is a guard working in Impel Down.
Sukune,Sukune is a yokozuna-ranked sumo wrestler from Wano Country. He is the older brother of Urashima.
Suleiman,"Suleiman the Beheader is a war criminal who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi. He eventually joined the Beautiful Pirates, serving under Cavendish."
Sunbell,Sunbell is a fish-man and former member of the Roger Pirates.
Surume,"Surume is a kraken and famous giant creature which dwells in the deepest parts of the ocean. He was enslaved by the New Fish-Man Pirates, but later became the pet of Monkey D. Luffy, who was the one who gave Surume his name."
Suzume,Suzume is a rooster living in the Tower of Justice.
Sweet Pea,"Sweet Pea is a member of the Kuja tribe living on the island Amazon Lily. During the timeskip, she became a member of the Kuja Pirates."
T Bone,"""Ship Cutter"" T Bone was a Marine Vice Admiral. As a Marine Captain two years ago, he was a minor antagonist during the Water 7 Arc and confronted the Straw Hat Pirates on the Sea Train route to Enies Lobby."
Tabuhachiro,"Tabuhachiro is a samurai and an ally of the Kouzuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima."
Tacos,Tacos is the king of the Shishano Kingdom and one of fifty monarchs who took part in the Levely.
Taka,O-Taka was the wife of Hyougoro. She was killed by Kurozumi Orochi's forces 20 years ago.
Takao,"Takao, also known as O-Taka, is a kamuro living in the Flower Capital of Wano Country who attended to the oiran Komurasaki alongside Toko."
Take,Take is a carp fish-man and is a member of the Arlong Pirates. He is the commander of parties.
Tama,"Kurozumi Tama, commonly known as O-Tama, is a girl from the region of Kuri in Wano Country. She is a kasa weaver working under Tenguyama Hitetsu, as well as a kunoichi in training under the apprenticeship of Shinobu."
Tamachibi,Tamachibi is a child Dr. Kureha healed while she was in Cocoa Weed.
Tamago,"Baron Tamago (also known as Viscount Hiyoko and Count Niwatori in his second and third form respectively) is a knight-ranked combatant of the Big Mom Pirates, who originates from the Longleg Tribe. He and his partner Pekoms were responsible for collecting the monthly payment of sweets from Fish-Man Island in exchange for Big Mom's protection."
Tamagon,"Tamagon is a ship dismantler from Water 7. Initially part of the Franky Family, he is now working for the Galley-La Company as part of the Zambai's Company Union."
Tamanegi,"Tamanegi is a former member of the Usopp Pirates, along with Ninjin and Piiman, before Usopp joined the Straw Hat Pirates. He is an ally of the Straw Hat Pirates during the Syrup Village Arc."
Tamikebao,Tamikebao is a retainer of the Kurozumi Family and a checkpoint guard at the dock between the Flower Capital and Kuri regions of Wano Country.
Tanaka,Tanaka-san is the security guard of Gran Tesoro and an executive member of Gild Tesoro's crew. He appeared in One Piece Film: Gold as well as its filler arc and TV special.
Tank Lepanto,Tank Lepanto is the commander of Dressrosa's Self-Defense Army. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.
Tansui,Tansui is a member of the Macro Pirates and a former member of the Sun Pirates. He is an arowana fish-man.
Tarara,Tarara is a dwarf from the Tontatta Kingdom.
Tararan,"Tararan was a General Zombie and the Commander of the Spider Mice on Thriller Bark. He was the one that had caught the Thousand Sunny in his webs, forcing the Straw Hat Pirates to enter the island."
Taro,Taro was a member of the Roger Pirates.
Taroimo,Taroimo is a cyborg dog from Karakuri Island.
Tashigi,"Captain Tashigi is a Marine officer serving under Vice Admiral Smoker in the base of G-5, as well as a member and Captain of G-5 Branch's Unit 01. She was originally introduced as a Master Chief Petty Officer in Loguetown but was promoted to Ensign after the events in Arabasta."
Tate,Tate is a nurse who worked for the Whitebeard Pirates as part of the crew's medical division.
Tea IV,Tea IV is the king of the Eigis Kingdom on the Grand Line and one of fifty monarchs who took part in the Levely.
Tegata Ringana,Tegata Ringana is a doctor on Dressrosa.
Tenguyama Hitetsu,"Kouzuki Sukiyaki is the former shogun of Wano Country. He is the father of the late daimyo of Kuri, Kouzuki Oden, as well as the grandfather of current shogun Kouzuki Momonosuke and Hiyori."
Tenjo-Sagari,Tenjo-Sagari is a Gifter in the Beasts Pirates who works under Black Maria.
Tensei,"Tensei, also known by his Marine alias Kurouma, is the director of the Marine Bureau of Investigation."
Terracotta,Terracotta is Igaram's wife and the royal head chef who appeared very late in the Arabasta Arc. She is also the royal seamstress.
Terry,"Terry is a bartender at a pub in Mock Town. He is not named in the manga, but his name was given in the databooks."
Terry Gilteo,Terry Gilteo is an intelligence controller of the Revolutionary Army and was stationed at their headquarters on Baltigo.
Thalassa Lucas,"Thalassa Lucas is the former king of the Ilisia Kingdom, a country in West Blue."
Thatch,"Thatch was the 4th division commander, as well as the head chef of the Whitebeard Pirates. He was murdered by Marshall D. Teach for his Devil Fruit."
Thormann,"Thormann is a member of the Giant Warrior Pirates. He serves as a minor ally during the Egghead Arc, and, after being converted into a demon, a minor antagonist during the Elbaph Arc."
Tibany,Tibany is an okama from Momoiro Island. He and the other okama chased after Sanji and attempted to convert him into an okama.
Tilestone,"Tilestone is one of the five foremen of Dock One of the Galley-La Company in Water 7. Tilestone is the last of the foremen to be formally introduced in the story, although he is present from the first scene Galley-La is shown in."
Tokijiro,Tokijiro is a resident of the Flower Capital in Wano Country. He once possessed the blueprints to Kaidou's fortress on Onigashima.
Tokikake,"Tokikake, better known by his alias Chaton, is a Marine vice admiral."
Toko,"Toko is a girl who lives in the Flower Capital of Wano Country and is under the care of Kouzuki Hiyori. She is the adopted daughter of the late former daimyo of Hakumai, Shimotsuki Yasuie, and thus a member of the Shimotsuki Family."
Tom,"Tom was a long-horned cowfish fish-man known as the greatest shipwright in the world, particularly for building the Roger Pirates ' ship, the Oro Jackson. He was also the older brother of Den, a fellow fish-man shipwright."
Tomatito,Tomatito is a musician who lives in Dressrosa.
Tomozo,Tomozo is a shopkeeper in the Wano Country's Flower Capital who operated 41 years ago.
Tonjil,Tonjil is Tonjit's grandson and Tonsfer's brother.
Tonjit,Tonjit is an elderly nomad belonging to a tribe that lives on Long Ring Long Land.
Tonsfer,Tonsfer is Tonjit's granddaughter and Tonjil's sister.
Tony Tony Chopper,"Tony Tony Chopper, also known as ""Cotton Candy Lover"" Chopper, is the doctor of the Straw Hat Pirates and one of the Senior Officers of the Straw Hat Grand Fleet. He is the sixth member of the crew and the fifth to join, doing so at the end of the Drum Island Arc."
Topknot,Topknot is a Sea King. It is one of the six Sea Kings that speak to Shirahoshi when she fully manifests the power of Poseidon.
Topman Warcury,"Saint Topman Warcury is a World Noble and one of the Five Elders who publicly head the World Government, holding the title of Warrior God of Justice. Due to his actions and role, he is one of the secondary antagonists of the Egghead Arc."
Torasaburo,"Torasaburo was a tiger created by Kurozumi Kanjuro using the power of the Fude Fude no Mi. It was created to aid him, Kin'emon, and Bariete scale Zunesha's leg to reach Zou, fading away after it achieved its goal."
Tori,Tori is a member of the Blackbeard Pirates.
Tosa,Tosa is a Marine Vice Admiral and one of the nine that took part in the Egghead Incident. He serves as a minor antagonist in the Egghead Arc.
Toto,"Toto is Koza's father and Goro's older brother, who lives in Yuba."
Totts,"Totts is a member of the Bonney Pirates. He was once a resident of the Sorbet Kingdom, having been a friend of Bartholomew Kuma and Ginny since childhood."
Toyama Tsujigiro,Toyama Tsujigiro is a Wano Country government official who lives in the Flower Capital. He is also a serial killer who attacked strangers at night.
Trafalgar D. Water Law,"Trafalgar D. Water Law, more commonly known as just Trafalgar Law and by his epithet as the ""Surgeon of Death"", is a pirate from the North Blue and the captain and doctor of the Heart Pirates. He is one of twelve pirates who are referred to as the "" Worst Generation ""."
